ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,bby,shy,pfcf_rank,evebitda_rank,rank
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA,555.82,16.27,0.8,2.68,13.05,0.95,-28.35,42.3,7.52,0,46.24896949711459,0.0,0.0,-0.0,0.95,50,50,146.2489694971146
ACC,American Campus Communities Inc.,Financial,REIT - Residential,USA,3919.44,88.95,5.96,1.49,0.0,3.85,6.41,37.36,20.84,0,94.58642484198955,81.505908216543,0.0,-0.0,3.85,50,50,276.0923330585326
ACCL,Accelrys Inc.,Technology,Application Software,USA,697.00,138.89,4.14,2.8,0.0,0.0,32.56,12.5,93.84,0,96.75735092058258,0.0,0.0,-0.0,0.0,50,50,196.75735092058258
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,700.51,9.16,0.4,0.99,4.44,0.0,-13.03,6.14,6.56,0,30.392965100302284,0.0,13.190436933223411,-0.0,0.0,50,50,130.3929651003023
ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,34115.70,9.24,1.77,1.19,9.73,2.5,6.78,100.94,8.72,0,30.53036548502336,0.0,0.0,-0.0,2.5,50,50,130.53036548502337
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,USA,609.03,19.51,1.17,2.74,21.37,1.12,30.3,21.46,9.1,0,56.334157735641654,0.0,0.0,-0.0,1.12,50,50,156.33415773564167
ACG,"AllianceBernstein Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,1756.24,40.17,15.98,0.86,0.0,5.67,7.11,7.23,0.0,0,86.42484198955756,94.39406430338005,0.0,-0.0,5.67,50,50,280.81890629293764
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,7691.79,11.32,2.18,1.42,9.23,0.0,1.54,57.38,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
ACH,Aluminum Corporation Of China Limited,Basic Materials,Aluminum,China,6559.65,0.0,0.26,0.78,0.0,0.0,6.02,9.68,33.14,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,2092.68,48.13,2.93,4.31,0.0,0.0,4.05,41.39,20.48,0,89.20032976092334,0.0,78.12585875240451,-0.0,0.0,50,50,189.20032976092335
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,273.97,0.0,0.0,1.79,0.0,0.0,-0.35,2.83,-2.66,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
ACI,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals,USA,1063.72,0.0,0.35,0.47,0.0,0.8,29.46,5.01,19.2,0,0.0,0.0,0.0,-0.0,0.8,50,50,100.0
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2219.72,35.86,2.57,4.1,20.96,0.0,6.02,57.73,15.21,0,83.84171475680132,0.0,76.44957405880737,-0.0,0.0,50,50,183.8417147568013
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,USA,216.33,0.0,1.11,1.22,0.0,0.0,-16.67,1.95,-17.81,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
ACM,AECOM Technology Corporation,Services,Technical Services,USA,3219.45,12.6,0.4,1.54,7.69,0.0,2.62,32.5,8.17,0,36.6584226435834,0.0,31.437208024182468,-0.0,0.0,50,50,136.6584226435834
